Chr	Start	Stop	Class	Ratio
chr1	3172436	3580436	left	0
chr1	5162940	6367940	left	0
chr1	6367940	7263940	right	0
chr1	7263940	9551942	left	0
chr1	11434943	12196943	left	0
chr1	14118505	15603505	left	0
chr1	17179505	18190506	right	0
chr1	18190506	19149506	left	0
chr1	29935153	31348153	left	0
chr1	32848399	34002399	right	0
chr1	34002399	36086399	left	0
chr1	36086399	37009399	right	0
chr1	37009399	37843328	left	0
chr1	37843328	38447328	right	0
chr1	47373328	48902328	right	0
chr1	49509328	51573328	left	0
chr1	51573328	52346328	right	0
chr1	54738327	55832327	right	0
chr1	57754328	58837328	left	0
chr1	58837328	60147328	right	0
chr1	60147328	61444328	left	0
chr1	61444328	62687329	right	0
chr1	62687329	63742329	left	0
chr1	63742329	64528317	right	0
chr1	64528317	64923317	left	0
chr1	64923317	66460317	right	0
chr1	66460317	67638317	left	0
chr1	67638317	69391317	right	0
chr1	76680315	77827315	left	0
chr1	77827315	78998315	right	0
chr1	83256317	84328317	left	0
chr1	85428317	86022317	right	0
chr1	86022317	86838317	left	0
chr1	94628444	96091444	right	0
chr1	107786378	109522378	left	0
chr1	109522378	111402378	right	0
chr1	111402378	112927378	left	0
chr1	112927378	115062379	right	0
chr1	115062379	116409378	left	0
chr1	116409378	118479377	right	0
chr1	118803377	119880377	left	0
chr1	151642524	152682524	right	0
chr1	152682524	153989524	left	0
chr1	156541208	158982210	right	0
chr1	158982210	160976210	left	0
chr1	160976210	161877210	right	0
chr1	166195763	167354763	left	0
chr1	172736860	173370861	right	0
chr1	177059864	178498865	left	0
chr1	178498865	179345865	right	0
chr1	179345865	180913864	left	0
chr1	180913864	181997865	right	0
chr1	181997865	183296865	left	0
chr1	199023871	201269872	left	0
chr1	210600656	211877658	left	0
chr1	211877658	213543657	right	0
chr1	213543657	214456657	left	0
chr1	221986658	223936298	left	0
chr1	223936298	224867298	right	0
chr1	224867298	225835299	left	0
chr1	229108253	230202254	right	0
chr1	230202254	231096254	left	0
chr1	231096254	231943254	right	0
chr1	231943254	232812254	left	0
chr1	235112685	237207700	right	0
chr1	244580698	245870698	right	0
chr1	245870698	246760698	left	0
chr2	7209869	10057873	left	0
chr2	11375874	12616874	right	0
chr2	18705734	20265239	left	0
chr2	20265239	21738128	right	0
chr2	28561133	29738134	right	0
chr2	31207134	32263931	left	0
chr2	32263931	33463933	right	0
chr2	35893934	37077857	left	0
chr2	37792857	38499858	left	0
chr2	38499858	40750860	right	0
chr2	40750860	42179860	left	0
chr2	43792861	44898861	right	0
chr2	53090862	54947863	left	0
chr2	54947863	56255865	right	0
chr2	60010865	62028865	left	0
chr2	62028865	63379865	right	0
chr2	63379865	64888866	left	0
chr2	64888866	66410868	right	0
chr2	67879868	69888868	left	0
chr2	69888868	72021870	right	0
chr2	73435872	74424873	left	0
chr2	74424873	75618874	right	0
chr2	83684876	85235877	left	0
chr2	85235877	87595481	right	0
chr2	94660447	96369262	left	0
chr2	96369262	99776538	right	0
chr2	99776538	101173538	left	0
chr2	101173538	103633542	right	0
chr2	104302542	105447543	left	0
chr2	105447543	106877544	right	0
chr2	112827423	114826423	right	0
chr2	118794424	120359424	left	0
chr2	121509424	122714424	right	0
chr2	126213423	127594425	left	0
chr2	127594425	128848426	right	0
chr2	163840490	164882490	left	0
chr2	167076490	168580490	left	0
chr2	168580490	169096490	right	0
chr2	171297490	172386272	left	0
chr2	176182272	177319272	left	0
chr2	177319272	178438273	right	0
chr2	180507273	181806273	left	0
chr2	181806273	183069272	right	0
chr2	188462273	190742274	left	0
chr2	190742274	192785274	right	0
chr2	199066277	201014277	left	0
chr2	203278277	205085277	right	0
chr2	205085277	206030276	left	0
chr2	206030276	206878276	right	0
chr2	206878276	207901276	left	0
chr2	207901276	209011276	right	0
chr2	215242277	216364277	left	0
chr2	216364277	217241277	right	0
chr2	217241277	218994278	left	0
chr2	218994278	220596279	right	0
chr2	223715283	225340284	right	0
chr2	225340284	227229284	left	0
chr2	227229284	228928284	right	0
chr2	229585284	231256287	left	0
chr2	231256287	232186290	right	0
chr2	232186290	237853357	left	0
chr2	237853357	239708306	right	0
chr3	4029316	4964315	left	0
chr3	4964315	6161313	right	0
chr3	7743313	9929316	left	0
chr3	9929316	10985314	right	0
chr3	10985314	12501501	left	0
chr3	12501501	13628500	right	0
chr3	13628500	14471492	left	0
chr3	14471492	17004508	right	0
chr3	22683509	24336509	left	0
chr3	29245509	30500508	left	0
chr3	30500508	31267508	right	0
chr3	31267508	32288508	left	0
chr3	36091508	38051509	left	0
chr3	38051509	38831509	right	0
chr3	38831509	39171509	left	0
chr3	39171509	39990509	right	0
chr3	41390509	42649508	left	0
chr3	42649508	44021508	right	0
chr3	44021508	45324508	left	0
chr3	45324508	46444509	right	0
chr3	46444509	47642510	left	0
chr3	50201567	51129569	right	0
chr3	51129569	52403984	left	0
chr3	52403984	54496973	right	0
chr3	55867972	58268273	left	0
chr3	58268273	59517274	right	0
chr3	61918326	66254576	left	0
chr3	66254576	67522576	right	0
chr3	68316850	69283849	left	0
chr3	69283849	70160849	right	0
chr3	97850156	98867156	left	0
chr3	98867156	99614156	right	0
chr3	99614156	100405156	left	0
chr3	100405156	101156156	right	0
chr3	101156156	101915156	left	0
chr3	101915156	103131156	right	0
chr3	107070153	108046153	left	0
chr3	108046153	109253153	right	0
chr3	110868153	111857153	left	0
chr3	111857153	113200153	right	0
chr3	123281153	124831153	left	0
chr3	124831153	126552157	right	0
chr3	126817157	127801157	left	0
chr3	127801157	128174157	right	0
chr3	128174157	129076157	left	0
chr3	129076157	130944156	right	0
chr3	132710156	134243156	left	0
chr3	134243156	137686158	right	0
chr3	137686158	139007158	left	0
chr3	139007158	140298158	right	0
chr3	140298158	141534158	left	0
chr3	142520158	143875158	right	0
chr3	148254213	149494213	left	0
chr3	149494213	149922213	right	0
chr3	155011211	156138211	left	0
chr3	156945211	157959211	right	0
chr3	168032212	170061212	left	0
chr3	172239210	173612210	right	0
chr3	176373212	177337212	left	0
chr3	177337212	178534212	right	0
chr3	181724212	183057212	left	0
chr3	185180212	185665212	left	0
chr3	185665212	187429212	right	0
chr3	187429212	187976212	left	0
chr3	187976212	188709212	right	0
chr3	188709212	189086211	left	0
chr3	192042211	194224211	left	0
chr4	3134273	4618273	right	0
chr4	5465273	6846273	left	0
chr4	6846273	7441273	right	0
chr4	7441273	8072273	left	0
chr4	8072273	9217274	right	0
chr4	9217274	11513376	left	0
chr4	11513376	12690376	right	0
chr4	14988376	15975377	left	0
chr4	15975377	17021377	right	0
chr4	23449377	24752377	left	0
chr4	25719378	27627378	right	0
chr4	36672378	38245379	left	0
chr4	38245379	39013380	right	0
chr4	39013380	39719380	left	0
chr4	40409983	41991983	right	0
chr4	47306983	48284983	left	0
chr4	53858833	54614833	right	0
chr4	54614833	55686833	left	0
chr4	69862282	70822283	left	0
chr4	72761283	74251283	left	0
chr4	75391790	76623847	left	0
chr4	76623847	79497846	right	0
chr4	79497846	80149846	left	0
chr4	80149846	80968846	right	0
chr4	80968846	83089847	left	0
chr4	83089847	84305847	right	0
chr4	86354847	87228848	left	0
chr4	101936843	102741843	left	0
chr4	102741843	103788843	right	0
chr4	104267843	105781843	left	0
